"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002250","GO:0002250","adaptive immune response",467,0.696222782623058,2.67767924168107,1e-10,6.89397590361446e-09,5.29105897273304e-09,1735,"tags=38%, list=11%, signal=35%","9156/1380/28445/3500/28796/430/28468/930/2209/3503/28454/9214/28778/2214/3502/924/259307/915/28755/3560/114836/28639/27074/3539/91543/115650/11006/7535/54440/28638/3594/923/5588/3718/5551/10859/916/84174/3575/6890/1493/50943/814/3134/5133/4277/28388/3702/6504/917/51176/257101/733/3106/5788/941/89790/973/3902/6693/64005/57823/3111/387357/3113/3122/54900/3123/6891/10666/713/925/3127/28450/8631/5777/972/64092/4063/8832/3965/714/3553/919/3136/3071/27240/942/3383/3501/3662/3659/6398/920/3109/4615/3105/3903/30009/4068/712/28902/28457/1520/3115/28467/3665/2207/2212/1445/57289/7462/7454/10312/89857/3112/6775/84868/51571/113/1439/10459/81622/100423062/201294/4067/5294/567/3635/64170/6494/3107/84807/3117/940/7186/717/7294/8320/255231/729230/7128/10384/55824/1075/10148/639/7264/5293/10673/7468/7037/6850/3108/602/7133/127544/7292/10288/3119/11118/54210/5580/11119/3824/64581/695/28444/7040/958/5585/5579/28876/3595/2213/7297/84447/974/939"
"GO:0002449","GO:0002449","lymphocyte mediated immunity",284,0.723235257408791,2.65127986925648,1e-10,6.89397590361446e-09,5.29105897273304e-09,1907,"tags=42%, list=12%, signal=38%","9156/3002/1380/28445/3500/28468/930/2209/3503/28454/9214/441168/2214/3502/924/259307/3560/114836/3539/91543/201633/11006/54440/3594/4818/5551/10859/914/84174/3575/50943/11151/3134/5133/28388/6504/10225/733/3106/5788/941/3902/6693/64005/57823/3122/3123/6891/10666/713/925/28450/5777/972/3965/714/3553/3136/7409/3071/3383/3501/6398/4615/3105/30009/4068/712/28457/28467/3665/2207/2212/57289/7454/10312/7305/84868/51571/1439/10459/81622/100423062/201294/567/3635/64170/3107/940/81607/7186/717/729230/10384/1075/7264/5272/7468/7037/602/7133/127544/10125/7292/11118/5580/3824/695/28444/7040/958/2213/939/2885/409/5052/84542/8772/28834/10870"
"GO:0002443","GO:0002443","leukocyte mediated immunity",364,0.690888928781275,2.60354962110094,1e-10,6.89397590361446e-09,5.29105897273304e-09,1956,"tags=39%, list=12%, signal=35%","9156/1621/3002/1380/28445/3500/28468/930/2209/3503/28454/9214/441168/2214/3502/924/259307/3560/114836/3539/91543/201633/11006/54440/3594/4818/3718/5551/10859/914/84174/3575/50943/11151/3134/5133/28388/6504/10225/733/3106/5788/5880/941/3902/6693/64005/57823/684/3122/3123/6891/10666/713/925/28450/5777/972/8832/3965/714/3553/6348/3136/7409/3071/3383/3501/6398/4615/3105/30009/4068/712/28457/28467/3665/6813/2207/2212/57289/7462/7454/10312/3689/7305/84868/51571/11314/1439/10459/81622/100423062/6688/201294/4067/5294/567/3635/64170/653361/3107/940/81607/7186/717/729230/10384/1075/7264/5272/5293/7468/7037/6850/602/7133/127544/10125/7292/11118/8673/54210/5580/3824/64581/695/28444/171389/7040/958/2213/939/2885/409/5052/84542/2624/8772/28834/10870/23586/148022"
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",312,0.688464632932762,2.54501193131905,1e-10,6.89397590361446e-09,5.29105897273304e-09,1735,"tags=37%, list=11%, signal=34%","9156/1380/28445/3500/430/28468/930/2209/3503/28454/9214/2214/3502/924/259307/3560/114836/3539/91543/11006/54440/3594/5588/3718/5551/10859/84174/3575/50943/3134/5133/28388/6504/51176/733/3106/5788/941/6693/64005/3122/3123/6891/10666/713/925/28450/5777/972/4063/3965/714/3553/3136/3071/3383/3501/3662/6398/920/4615/3105/30009/712/28457/28467/3665/2207/2212/57289/7454/10312/89857/6775/84868/51571/1439/10459/81622/100423062/201294/567/3635/64170/3107/84807/940/7186/717/729230/7128/10384/1075/10148/7264/10673/7468/7037/602/7133/7292/11118/5580/3824/64581/695/28444/7040/958/5585/3595/2213/7297/84447/939"
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway",191,0.705258968397035,2.46751518588731,1e-10,6.89397590361446e-09,5.29105897273304e-09,1845,"tags=43%, list=11%, signal=38%","3500/115352/930/3503/9214/3502/915/28755/28639/3539/931/933/1236/11006/7535/640/53347/28638/3932/84433/916/84174/1493/50943/7805/3702/917/963/257101/5788/10603/2533/973/387357/54900/3123/10666/925/8631/5777/952/9840/3937/55024/919/3071/3501/9404/3105/4068/3115/23149/1445/7462/89857/2633/11314/4067/971/3635/5795/84807/940/7294/26191/10384/10385/5293/29760/784/6850/9473/3119/11118/11119/695/5579/2213/974/2885/54923/8525"
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity",152,0.71572230364384,2.43921600160513,1e-10,6.89397590361446e-09,5.29105897273304e-09,1811,"tags=41%, list=11%, signal=37%","1380/2209/441168/924/259307/114836/91543/201633/11006/54440/3594/10859/3575/50943/3134/5133/6504/10225/3106/5788/941/3902/6693/3122/3123/6891/10666/5777/3965/3553/3136/7409/3071/6398/3105/30009/4068/2207/7454/84868/51571/10459/567/3635/3107/940/81607/7186/729230/5272/7468/7037/7133/10125/7292/3824/695/7040/958/2213/2885/409"
"GO:0019724","GO:0019724","B cell mediated immunity",148,0.712916117600226,2.42853711217144,1e-10,6.89397590361446e-09,5.29105897273304e-09,1735,"tags=36%, list=11%, signal=33%","9156/1380/28445/3500/28468/930/2209/3503/28454/9214/2214/3502/3560/3539/84174/50943/28388/733/5788/10666/713/28450/5777/972/714/3501/4615/30009/712/28457/28467/3665/2207/2212/57289/10312/1439/10459/100423062/3635/64170/940/717/7468/7037/602/7292/5580/695/28444/7040/958/2213/939"
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity",110,0.743563255047386,2.42614895139936,1e-10,6.89397590361446e-09,5.29105897273304e-09,1907,"tags=53%, list=12%, signal=47%","3002/3500/2209/2214/114836/201633/3594/4818/5551/10859/914/3575/11151/3134/3106/5788/3902/57823/3122/3123/6891/10666/5777/3965/3136/7409/3071/3383/4615/3105/4068/6813/2212/7305/84868/51571/6688/201294/567/3635/653361/3107/81607/1075/7264/5272/127544/10125/54210/3824/171389/7040/2213/2885/409/5052/8772/10870"
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity",201,0.68449873664222,2.41329408015913,1e-10,6.89397590361446e-09,5.29105897273304e-09,1956,"tags=40%, list=12%, signal=36%","1380/2209/441168/924/259307/114836/91543/201633/11006/54440/3594/3718/10859/3575/50943/3134/5133/6504/10225/3106/5788/5880/941/3902/6693/684/3122/3123/6891/10666/5777/8832/3965/3553/3136/7409/3071/3383/6398/3105/30009/4068/6813/2207/7454/3689/7305/84868/51571/11314/10459/6688/201294/4067/567/3635/3107/940/81607/7186/729230/5272/7468/7037/6850/7133/10125/7292/8673/3824/64581/695/7040/958/2213/2885/409/2624/8772/23586/148022"
"GO:0016064","GO:0016064","immunoglobulin mediated immune response",147,0.709419871079889,2.41152700842652,1e-10,6.89397590361446e-09,5.29105897273304e-09,1735,"tags=36%, list=11%, signal=32%","9156/1380/28445/3500/28468/930/2209/3503/28454/9214/2214/3502/3560/3539/50943/28388/733/5788/10666/713/28450/5777/972/714/3501/4615/30009/712/28457/28467/3665/2207/2212/57289/10312/1439/10459/100423062/3635/64170/940/717/7468/7037/602/7292/5580/695/28444/7040/958/2213/939"
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity",64,0.798424759769615,2.41014856883831,1e-10,6.89397590361446e-09,5.29105897273304e-09,1811,"tags=55%, list=11%, signal=49%","1380/259307/201633/11006/3718/10859/3575/50943/3134/5133/6504/10225/3106/5788/941/6693/684/5777/8832/3965/3071/3105/30009/84868/11314/6688/3635/81607/729230/5272/3824/7040/2213/2885/409"
"GO:0001906","GO:0001906","cell killing",167,0.694464461417669,2.40058415638955,1e-10,6.89397590361446e-09,5.29105897273304e-09,1907,"tags=46%, list=12%, signal=41%","4283/3002/3627/6362/3500/115362/2209/2214/114836/10578/201633/3594/4818/5551/10859/914/3575/11151/3134/4277/733/3106/5788/3902/57823/3122/3123/6891/8970/10666/5777/3965/4069/3136/7409/3071/3383/4615/3105/4068/629/6813/2212/2633/7305/84868/51571/85236/6688/201294/27433/567/3635/653361/6367/3107/81607/717/1075/7264/5272/127544/10125/8542/2635/54210/3824/171389/7040/2213/2885/409/5052/2597/8772/10870"
"GO:0002456","GO:0002456","T cell mediated immunity",108,0.738879830584561,2.4004437848526,1e-10,6.89397590361446e-09,5.29105897273304e-09,1415,"tags=41%, list=9%, signal=37%","1380/2214/924/259307/91543/11006/54440/3594/5551/10859/3575/50943/3134/5133/6504/3106/5788/941/6693/64005/3122/3123/6891/925/3553/3136/3071/3383/6398/3105/30009/7454/51571/81622/567/3107/7186/729230/10384/1075/7264/7133/7292/11118"
"GO:0042113","GO:0042113","B cell activation",243,0.665237114320399,2.39243611993767,1e-10,6.89397590361446e-09,5.29105897273304e-09,1837,"tags=36%, list=11%, signal=32%","9156/1380/5079/115352/115350/1029/930/6689/259307/3149/931/115650/933/3624/22806/7535/54440/3718/84433/3561/3575/1493/50943/7805/56833/51176/3394/5788/973/2146/684/54900/7293/5777/972/952/64092/55024/7409/3071/942/374403/30009/629/578/7462/10312/7305/11314/3676/10459/6688/4067/3635/4242/5795/940/7128/6929/5293/10673/29760/7468/8503/7037/6850/9473/1503/602/10125/7292/4064/4282/5580/79155/695/7040/958/5585/5579/2213/84447/974/939/7922/84542/2185"
"GO:0046651","GO:0046651","lymphocyte proliferation",256,0.660937408337692,2.39099860287224,1e-10,6.89397590361446e-09,5.29105897273304e-09,1728,"tags=38%, list=11%, signal=35%","1380/6664/115352/1029/930/3604/26279/2214/259307/6352/931/115650/933/11006/22806/7535/54440/3594/923/5588/64926/10859/84433/916/3575/1493/50943/7805/11151/100133941/6504/51176/9047/5788/5880/941/973/6693/3113/3123/9750/7293/5777/3559/972/952/3965/3553/7409/3071/942/1794/3659/920/3109/4615/3105/3115/951/8740/7305/84868/11314/283234/4860/4067/5294/3635/940/26191/729230/2000/10148/83593/10385/7940/6929/10673/5699/7037/6850/1503/7133/10125/7292/10288/4064/4282/5580/11119/695/81704/7040/958/5585/2213/7297/3070"
"GO:0032943","GO:0032943","mononuclear cell proliferation",262,0.657304729734954,2.3892043757998,1e-10,6.89397590361446e-09,5.29105897273304e-09,1728,"tags=37%, list=11%, signal=34%","1380/6664/115352/1029/930/3604/26279/2214/259307/6352/931/115650/933/11006/22806/7535/54440/3594/923/5588/64926/10859/84433/916/3575/1493/50943/7805/11151/100133941/6504/51176/9047/5788/5880/941/973/6693/3113/3123/9750/7293/5777/3559/972/952/3965/3553/7409/3071/942/1794/3659/920/3109/4615/3105/3115/951/8740/7305/84868/11314/283234/4860/4067/5294/3635/940/26191/729230/2000/10148/83593/10385/7940/6929/10673/5699/7037/6850/1503/7133/10125/7292/10288/4064/4282/5580/11119/695/81704/7040/958/5585/2213/7297/3070"
"GO:0051249","GO:0051249","regulation of lymphocyte activation",442,0.62276531321203,2.38451552356191,1e-10,6.89397590361446e-09,5.29105897273304e-09,1738,"tags=33%, list=11%, signal=31%","6664/115352/430/55423/1029/930/3604/26279/2214/259307/3149/6352/115650/933/1236/3624/201633/11006/22806/7535/54440/3594/923/3932/5588/3718/64926/10859/84433/916/914/3561/3575/1493/50943/814/7805/11151/56833/5133/100133941/6504/51176/257101/5788/5880/941/3902/6693/3111/101/3113/3122/54900/3123/8651/9750/7293/3127/864/9308/5777/3559/972/952/64092/9840/3965/3553/55024/7409/3071/27240/942/3662/374403/3659/920/3109/4615/3105/30009/115004/3115/8477/951/4192/23149/1445/2177/8740/3112/7305/84868/51571/11314/283234/10459/6688/2175/4860/4067/567/3635/399/84807/3117/940/26191/729230/7128/10326/55824/10148/83593/639/10385/7940/6929/5293/10673/7468/7037/6850/9473/3108/7133/10125/7292/10288/921/3119/4282/3824/64581/79155/695/81704/7040/958/79626/5585/2213/135/7297/64410/939/2885"
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway",312,0.644256456500253,2.38158983074823,1e-10,6.89397590361446e-09,5.29105897273304e-09,1738,"tags=37%, list=11%, signal=34%","1380/3500/115352/930/2209/3503/9214/2214/3502/915/28755/28639/3539/931/933/1236/11006/7535/640/53347/28638/3932/5588/10859/84433/916/84174/1493/50943/4938/7805/2359/2357/4277/100133941/3702/917/963/257101/5788/10603/118788/2533/973/64005/387357/54900/3123/10666/925/8631/5777/952/9840/3937/55024/919/7409/3071/3501/9404/4615/3105/4068/3115/3654/2207/728/2212/1535/23149/1445/7462/89857/2633/7305/11314/4067/971/3635/5795/9111/84807/940/3984/7294/26191/7128/10384/10385/3430/5293/29760/784/6850/9473/10288/3119/11118/5580/11119/5359/7187/3824/64581/79155/695/1240/958/10333/5579/2213/719/974/2885"
"GO:0050864","GO:0050864","regulation of B cell activation",121,0.716529706987105,2.3756736285489,1e-10,6.89397590361446e-09,5.29105897273304e-09,1735,"tags=40%, list=11%, signal=36%","115352/1029/930/259307/3149/115650/933/3624/22806/54440/84433/3561/1493/50943/7805/56833/5788/7293/5777/972/952/64092/55024/3071/374403/30009/7305/11314/10459/6688/4067/3635/940/7128/6929/10673/7468/7037/6850/9473/7292/4282/79155/695/7040/958/5585/2213/939"
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway",292,0.645558220491626,2.37093119529961,1e-10,6.89397590361446e-09,5.29105897273304e-09,1993,"tags=39%, list=12%, signal=35%","1380/3500/115352/930/3503/9214/3502/915/28755/28639/3539/931/933/1236/11006/7535/640/53347/28638/3932/84433/916/84174/1493/50943/4938/7805/2359/2357/4277/3702/917/963/257101/5788/10603/118788/2533/973/64005/387357/54900/3123/10666/925/8631/5777/952/9840/3937/55024/919/7409/3071/3501/9404/4615/3105/4068/3115/3654/2207/728/1535/23149/1445/7462/89857/2633/7305/11314/4067/971/3635/5795/9111/84807/940/3984/7294/26191/7128/10384/10385/3430/5293/29760/784/6850/9473/3119/11118/5580/11119/5359/7187/3824/64581/79155/695/1240/10333/5579/2213/719/974/2885/54923/8525/28834/8517/148022/3656/3055"
"GO:0050853","GO:0050853","B cell receptor signaling pathway",69,0.772469814247591,2.36506420039515,1e-10,6.89397590361446e-09,5.29105897273304e-09,1902,"tags=55%, list=12%, signal=49%","3500/115352/930/3503/9214/3502/3539/931/933/640/3932/1493/3702/5788/10603/973/5777/952/55024/3071/3501/9404/7462/89857/11314/4067/971/26191/5293/29760/6850/695/5579/2213/974/2885/54923/28834"
"GO:0042110","GO:0042110","T cell activation",499,0.610438869628143,2.36076299025119,1e-10,6.89397590361446e-09,5.29105897273304e-09,1738,"tags=33%, list=11%, signal=30%","430/55423/1029/3604/26279/924/259307/915/28755/114836/28639/6352/91543/115650/1236/201633/11006/22806/7535/54440/28638/3594/923/4818/3932/5588/3718/64926/10859/84433/916/914/84174/3561/3575/1493/50943/814/7805/11151/5133/4277/100133941/3702/6504/917/51176/9047/257101/5788/3683/5880/941/57705/3902/84941/6693/57823/3111/387357/101/3113/3122/54900/3123/197358/8651/9750/7293/925/3127/864/9308/5777/3559/972/4063/8832/9840/3965/3553/919/7409/3071/27240/942/3383/1794/3662/3659/920/3109/3105/30009/3936/115004/3115/8477/2207/951/4192/23149/1445/2177/8740/7454/10312/860/3112/7305/6775/84868/51571/11314/283234/6688/2175/4860/4067/5294/567/399/84807/3117/940/7186/8320/26191/729230/2000/10326/55824/10148/639/10385/5293/10673/5699/8503/7037/6850/3108/1503/602/7133/10125/7292/10288/921/3119/2629/11119/120425/64581/54518/81704/7040/79626/3595/2213/135/7297/64410/939/2885"
"GO:0002697","GO:0002697","regulation of immune effector process",319,0.633958158676077,2.35750469921186,1e-10,6.89397590361446e-09,5.29105897273304e-09,2132,"tags=37%, list=13%, signal=33%","1380/115352/6280/430/2209/441168/924/259307/114836/8140/91543/933/201633/11006/54440/3594/3718/10859/3561/3575/50943/7805/3134/56833/5133/6504/257101/10225/3106/5788/5880/941/3902/6693/684/3122/3123/6891/10666/7293/5777/972/8832/3965/3553/3136/7409/3071/942/3383/3662/51284/6398/3109/4615/3105/30009/4068/3663/115004/8477/6813/2207/951/7454/3689/55601/7305/84868/51571/11314/8482/10459/6688/201294/79132/4067/567/3635/64170/653361/3107/84807/940/81607/7186/729230/5272/7468/7037/6850/2896/7133/10125/7292/2590/8673/4282/3824/64581/695/7040/958/5585/2213/2885/409/2624/7042/8772/79065/23586/148022/2821/9261/2048/3684/163486"
"GO:0042100","GO:0042100","B cell proliferation",78,0.757122852079164,2.34651789792722,1e-10,6.89397590361446e-09,5.29105897273304e-09,1681,"tags=46%, list=10%, signal=42%","1380/115352/1029/930/931/115650/933/22806/54440/84433/3575/1493/51176/5788/973/7293/972/952/7409/3071/7305/11314/4067/3635/6929/10673/7037/1503/10125/4064/4282/5580/695/958/5585/2213"
"GO:0050863","GO:0050863","regulation of T cell activation",334,0.629825382229207,2.34511300062421,1e-10,6.89397590361446e-09,5.29105897273304e-09,1410,"tags=32%, list=9%, signal=30%","430/55423/1029/3604/26279/259307/6352/115650/1236/201633/11006/7535/54440/3594/923/3932/5588/3718/64926/10859/84433/916/914/3561/3575/1493/50943/814/7805/11151/5133/100133941/6504/51176/257101/5788/5880/941/3902/6693/3111/101/3113/3122/54900/3123/8651/9750/3127/864/9308/5777/3559/972/9840/3965/3553/7409/3071/27240/942/3662/3659/920/3109/3105/30009/115004/3115/8477/951/4192/23149/1445/2177/8740/3112/84868/51571/11314/283234/2175/4860/4067/567/399/84807/3117/940/26191/729230/10326/55824/10148/639/10385/5293/10673/7037/6850/3108/7133/10125/7292/10288/921/3119"
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",170,0.675093495795215,2.34341698101218,1e-10,6.89397590361446e-09,5.29105897273304e-09,1729,"tags=36%, list=11%, signal=32%","1380/430/2209/924/259307/91543/11006/54440/3594/5588/3718/10859/3575/50943/3134/5133/6504/3106/5788/941/6693/3122/3123/6891/10666/5777/3965/3553/3136/3071/6398/920/3105/30009/2207/7454/84868/51571/10459/567/64170/3107/84807/940/7186/729230/7128/10673/7468/7037/7133/7292/3824/64581/695/7040/958/5585/2213/7297/84447"
"GO:0002819","GO:0002819","regulation of adaptive immune response",183,0.669784463016617,2.34115511604913,1e-10,6.89397590361446e-09,5.29105897273304e-09,1729,"tags=36%, list=11%, signal=33%","1380/430/2209/924/259307/91543/11006/54440/3594/5588/3718/10859/3575/50943/3134/5133/6504/3106/5788/941/6693/3122/3123/6891/10666/8631/5777/64092/3965/3553/3136/3071/3659/6398/920/3105/30009/3665/2207/7454/84868/51571/113/10459/567/64170/3107/84807/940/7186/729230/7128/10673/7468/7037/7133/7292/3824/64581/695/7040/958/5585/2213/7297/84447"
"GO:0034340","GO:0034340","response to type I interferon",80,0.75003991737528,2.34022956437861,1e-10,6.89397590361446e-09,5.29105897273304e-09,1896,"tags=38%, list=12%, signal=33%","1380/9636/81030/4939/4940/8638/84166/6772/4938/3429/4599/5777/11274/4615/9641/3665/3654/6472/103/8519/3455/64135/201292/7187/6773/7297/3434/55337/23170/8772"
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity",55,0.792299742002234,2.33628211708991,1e-10,6.89397590361446e-09,5.29105897273304e-09,1811,"tags=53%, list=11%, signal=47%","1380/259307/201633/11006/10859/3575/50943/3134/5133/6504/10225/3106/5788/941/6693/5777/3965/3071/3105/30009/84868/3635/81607/5272/3824/7040/2213/2885/409"
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion",358,0.619158541425573,2.33172373753936,1e-10,6.89397590361446e-09,5.29105897273304e-09,1779,"tags=34%, list=11%, signal=31%","6280/430/6279/55423/1029/26279/259307/6352/115650/1236/201633/11006/7535/54440/6402/3594/923/3932/5588/3718/64926/10859/84433/916/3561/3575/1493/50943/7805/11151/5133/100133941/6504/51176/5788/3683/5880/941/3902/6693/3111/101/3113/3122/54900/3123/8651/9750/6404/3127/864/8631/9308/5777/3559/972/9840/3965/3553/7409/3071/942/3383/3659/920/3109/3105/30009/83706/3115/8477/3654/951/4192/23149/1445/8740/3112/3689/6793/84868/51571/3695/11314/3676/283234/50848/4860/4067/567/399/84807/3117/940/26191/10507/729230/10326/55824/10148/10385/7264/5293/10673/7037/6850/119/3108/10125/7292/10288/921/3119/81704/7040/79626/135/7297/64410/939/2885/50512/6522"
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation",204,0.662658460434521,2.33076446405622,1e-10,6.89397590361446e-09,5.29105897273304e-09,1709,"tags=38%, list=11%, signal=35%","6664/115352/1029/3604/26279/2214/259307/6352/115650/933/11006/22806/7535/54440/3594/923/5588/64926/10859/84433/916/1493/50943/7805/11151/100133941/6504/5788/5880/941/6693/3113/3123/9750/7293/5777/3559/972/952/3965/3553/3071/942/3659/920/3109/4615/3105/3115/951/7305/84868/11314/283234/4860/4067/3635/940/26191/729230/10148/83593/10385/7940/6929/10673/7037/6850/7133/7292/10288/4282/695/7040/958/5585/2213/7297"
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation",207,0.660636069610386,2.32745103579884,1e-10,6.89397590361446e-09,5.29105897273304e-09,1709,"tags=38%, list=11%, signal=34%","6664/115352/1029/3604/26279/2214/259307/6352/115650/933/11006/22806/7535/54440/3594/923/5588/64926/10859/84433/916/1493/50943/7805/11151/100133941/6504/5788/5880/941/6693/3113/3123/9750/7293/5777/3559/972/952/3965/3553/3071/942/3659/920/3109/4615/3105/3115/951/7305/84868/11314/283234/4860/4067/3635/940/26191/729230/10148/83593/10385/7940/6929/10673/7037/6850/7133/7292/10288/4282/695/7040/958/5585/2213/7297"
"GO:0030098","GO:0030098","lymphocyte differentiation",374,0.615759032027056,2.32644655925927,1e-10,6.89397590361446e-09,5.29105897273304e-09,1896,"tags=32%, list=12%, signal=29%","1380/5079/115352/430/1029/930/6689/3604/26279/259307/915/3149/114836/931/91543/1236/3624/11006/22806/7535/54440/3594/3932/3718/84433/916/914/3561/3575/1493/50943/814/7805/56833/3702/6504/917/51176/257101/3394/5788/941/973/10320/3902/2146/6693/3111/387357/101/3122/3123/8651/925/864/9308/5777/3559/972/4063/9840/3965/3553/7409/3071/942/1794/3662/3659/920/30009/629/578/8477/2207/4192/2177/10312/860/6775/3676/6688/2175/4860/567/3635/4242/399/5795/84807/940/8320/26191/729230/639/10385/6929/5293/10673/29760/8503/6850/602/10125/7292/10288/2629/695/7040/3595/2213/64410/84447/974/939/7922/6522/55636/2185/6597/8772"
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation",188,0.66353714139859,2.3190414516632,1e-10,6.89397590361446e-09,5.29105897273304e-09,1393,"tags=32%, list=9%, signal=30%","115352/430/1029/259307/3149/3624/11006/22806/7535/54440/3594/3932/3718/84433/914/3561/3575/1493/50943/814/56833/51176/257101/5788/941/3902/3111/101/3122/3123/8651/864/9308/5777/3559/972/9840/3965/3071/942/3662/3659/30009/8477/4192/2177/6688/2175/4860/3635/399/84807/940/729230/639/10385/6850/10125/7292/10288"
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity",67,0.759043229336509,2.31851181266025,1e-10,6.89397590361446e-09,5.29105897273304e-09,1896,"tags=54%, list=12%, signal=48%","114836/201633/3594/10859/3575/3134/3106/5788/3902/3122/3123/6891/10666/3965/3136/7409/3071/3383/3105/4068/7305/84868/51571/6688/567/3635/3107/81607/5272/10125/3824/7040/2213/2885/409/8772"
"GO:0002228","GO:0002228","natural killer cell mediated immunity",63,0.768834449765999,2.31836772991307,1e-10,6.89397590361446e-09,5.29105897273304e-09,1907,"tags=56%, list=12%, signal=49%","3002/441168/2214/114836/201633/4818/10859/914/11151/3134/10225/3106/3902/57823/10666/5777/3965/7409/3105/4068/7305/84868/201294/3635/3107/81607/5272/127544/10125/3824/7040/2885/409/5052/10870"
"GO:0051607","GO:0051607","defense response to virus",272,0.634203863579939,2.31592389804441,1e-10,6.89397590361446e-09,5.29105897273304e-09,1956,"tags=29%, list=12%, signal=26%","4283/3627/1380/115362/9636/81030/4939/91543/2537/4940/8638/3594/10964/5551/10859/84166/6772/50943/4938/3429/4277/3669/4599/5788/3687/6693/684/83666/3437/10379/3553/11274/151636/3659/51284/4615/9641/3663/81559/115004/3665/60489/951/2633/55601/55210/81622/103/201294/79132/8519/64170/51728/7128/3455/23220/4600/64135/5371/6737/91351/7706/8673/2635/64108/201292/5359/7187/6773/56829/171389/958/3434/55337/57169/3433/10346/8772/23586/148022"
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation",143,0.685854309979691,2.31542909420329,1e-10,6.89397590361446e-09,5.29105897273304e-09,1823,"tags=40%, list=11%, signal=36%","6664/430/1029/26279/259307/3149/3624/201633/11006/3718/10859/1493/50943/7805/5133/941/3902/6693/54900/3123/8651/9750/864/5777/3559/972/64092/3965/55024/942/374403/3659/30009/951/4192/1445/7305/84868/11314/4067/3635/26191/7128/55824/83593/10385/7940/7292/10288/695/7040/79626/5585/2213/135/6522/8379"
"GO:0042129","GO:0042129","regulation of T cell proliferation",152,0.674939822700955,2.30022734693476,1e-10,6.89397590361446e-09,5.29105897273304e-09,1393,"tags=36%, list=9%, signal=33%","1029/3604/26279/259307/6352/115650/11006/7535/54440/3594/923/5588/64926/10859/84433/916/1493/50943/7805/11151/100133941/6504/5788/5880/941/6693/3113/3123/9750/5777/3559/3965/3553/3071/942/3659/920/3109/3105/3115/951/84868/283234/4860/940/729230/10148/10385/10673/7037/6850/7133/7292/10288"
"GO:0002709","GO:0002709","regulation of T cell mediated immunity",83,0.732837953999196,2.29549441960792,1e-10,6.89397590361446e-09,5.29105897273304e-09,1386,"tags=40%, list=9%, signal=37%","924/259307/91543/11006/54440/3594/10859/3575/50943/3134/5133/6504/3106/5788/941/6693/3122/3123/6891/3553/3136/3071/6398/3105/30009/7454/51571/567/3107/7186/729230/7133/7292"
"GO:0070661","GO:0070661","leukocyte proliferation",292,0.6232842255265,2.28912585562545,1e-10,6.89397590361446e-09,5.29105897273304e-09,2106,"tags=39%, list=13%, signal=34%","1380/6664/115352/1029/930/3604/26279/2214/259307/6352/931/115650/933/11006/22806/7535/54440/3594/923/5588/64926/10859/84433/916/3575/1493/50943/7805/11151/100133941/6504/51176/9047/5788/5880/941/973/6693/684/3113/3123/9750/7293/5777/3559/972/952/3965/3553/7409/3071/942/1794/3659/920/3109/4615/3105/3115/951/8740/10312/7305/84868/11314/1439/283234/4860/4067/5294/3635/940/26191/729230/7128/2000/10148/83593/10385/7940/6929/10673/5699/7037/6850/1503/7133/10125/7292/10288/4064/4282/2629/5580/11119/695/81704/7040/958/5585/2213/7297/3070/6522/8379/8772/3614/148022/3600/1438/1880/2048/6355"
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity",101,0.705801284441111,2.28737898237,1e-10,6.89397590361446e-09,5.29105897273304e-09,1626,"tags=38%, list=10%, signal=34%","2209/924/114836/91543/54440/3594/50943/3134/6504/3106/5788/3902/3122/3123/6891/10666/3553/3136/7409/6398/3105/30009/4068/2207/51571/10459/567/3107/940/7186/7468/7037/10125/7292/3824/695/7040/958"
